No,Name,Level,Form,Effect,Image,Book,,,,,,,,,,,,,,,,,,,
11,Antipathy field emitter,1d6,"Wearable: Mask, amulet worn around the neck, temporary tattoo
Usable: Small handheld device, node that can be attached to a weapon or armor","When activated, the device emits an invisible energy field for one hour. The field extends out to immediate range. Any living creature in the field other than the user experiences nausea and physical discomfort. The difficulty of all tasks performed by an affected creature is modified by one step to its detriment.
[If you cobble together an antipathy field emitter and a duplicator (task difficulty 5), you create a cypher that forms a solid dome of stonelike matter with a 10-foot radius around the user. The dome is level 7 and disintegrates after 28 hours.]",no,SATC,,,,,,,,,,,,,,,,,,,
12,Antivenom,1d6+2,"Internal: Pill, ingestible liquid 
Usable: Injector","Renders user immune to poisons of the same level or lower for one hour per cypher level and ends any such ongoing effects, if any, already in the user's system.",no,DISC,,,,,,,,,,,,,,,,,,,
13,Anxiety engine,1d6+2,Usable: White sphere with a glowing red orb,"Fills a 5-foot (2 m) cube with a cloud of shadowy mist that lingers for one hour. The mist cannot be dispersed and remains despite the environmental conditions. Whenever a creature moves to within a short distance of the mist and can see it, the creature sees the cloud transform into something terrifying and horrific, its worst nightmares come to life. While the creature remains within a short distance of the cloud, the difficulty for all its tasks is modified by one step to its detriment.",no,SATC,,,,,,,,,,,,,,,,,,,
14,Armor patch,1d6,"Wearable: Sewn-on patch, self-stick fabric, metallic swatch","After being applied to armor of any kind, this patch activates when firmly slapped, sending tiny nanowires through the armor’s material to provide greater benefit.
01–50 Nanowires add a repellent layer to the material. Gain +1 to Armor against ranged, piercing, fire, or beam attacks for 28 hours.
51–75 Nanowires create greater flexibility in the material. Gain a +2 bonus to Speed defense rolls for 28 hours. 
76–00 Nanowires create a tough outer coating to the material. Gain a +2 bonus to Might defense rolls for 28 hours.
Action to attach to armor. Activation can be combined with another action.",no,SATC,,,,,,,,,,,,,,,,,,,
15,Artificial leech,1d6,Usable: Handheld device,"When used at the site of an infected or poisoned wound, the device draws out as much of the infection or poison as it can without injuring the surrounding tissue. The device restores a number of points equal to the cypher level to the user’s Might Pool.",no,SATC,,,,,,,,,,,,,,,,,,,
16,Atmospheric hyperskin,1d6,"Wearable: Adhesive patch of clear or flesh- colored substrate, temporary tattoo, sticky bundle of bare nanowires","When applied to any part of the body, nanowires penetrate the surface of the skin, allowing the user to sense a wider-than- normal range of atmospheric, geologic, and aqueous pressures, sensations, and vibrations. The user becomes trained in geology, biology, climatology, and perception for 28 hours.",no,SATC,,,,,,,,,,,,,,,,,,,
17,Attractor,1d6+4,"Wearable: Glove of synth
Usable: Small handheld device",One unanchored item your size or smaller within long range (very long range if the cypher is level 8 or higher) is drawn immediately to the device. This takes one round. The item has no momentum when it arrives.,no,DISC,,,,,,,,,,,,,,,,,,,
18,Awareness enhancer,1d6,"Internal: Pill, injector
Wearable: Headband","For the next 28 hours, the user is more aware of his surroundings through telepathic and telekinetic means. He can feel objects move within short range and can mentally hear thinking beings within long range. This is an asset for all perception and initiative tasks.",no,SATC,,,,,,,,,,,,,,,,,,,
19,Banishing nodule,1d6,Usable: Crystal nodule affixed to a melee weapon,"For the next 28 hours, each time the weapon the nodule is attached to strikes a solid creature or object, it generates a burst of energy that teleports the creature or object struck an immediate distance in a random direction (not up or down). The teleported creature’s actions (including defense) are hindered on its next turn (hindered by two steps if the cypher is level 5 or higher).",no,DISC,,,,,,,,,,,,,,,,,,,
20,Battle vapor,1d6,Usable: Small metal canister,Releases faint red vapor that fills an area within long distance within two rounds. The vapor persists for ten minutes unless natural conditions (such as wind) suggest otherwise. All energy weapons used in the area inflict 2 additional points of damage as the vapor intensifies them.,no,SATC,,,,,,,,,,,,,,,,,,,
21,Beauty mask,1d6,Usable: Paste,"Once applied to the user’s face and left to dry for ten minutes, this paste removes blemishes and wrinkles. The user appears much younger and more attractive. This effect is permanent.",no,SATC,,,,,,,,,,,,,,,,,,,
22,Bezoar discharge,1d6,"Usable: Explosive device (thrown, short range) or handheld projector (long range)","Explodes in an immediate radius, giving everything and everyone within it a sticky, powdery coating that provides +1 to Armor against poison, chemical, and fire damage for 28 hours.",no,SATC,,,,,,,,,,,,,,,,,,,
23,Biofeedback glove,1d6,Wearable: Single glove made of synth and nanowires,"For the next hour, each time the wearer uses the gloved hand to perform an action, the glove sends a biofeedback response regarding the action. After wearing the glove for one hour, the wearer may choose one of those actions (such as wielding a weapon, crafting, working with numenera devices, and so on). She becomes temporarily trained in that skill. For the next 28 hours, the difficulty of all tasks related to that skill is reduced by one step.
[While using a biofeedback glove, if you choose a skill that you are already trained in, you become temporarily specialized in that skill instead. The difficulty of related tasks is reduced by two steps instead of one.]",no,SATC,,,,,,,,,,,,,,,,,,,
24,Biological transpiercer,1d6+2,Usable: Biological needle or spike that is inserted under the skin,"Once inserted beneath the user’s skin, the transpiercer releases a slow-acting biological compound that begins to mix with the user’s blood, causing one of the following effects:
01–04 Allows the user to see in the dark for one hour
05–08 Causes the user to go out of phase for one hour
09–12 Increases Might Pool by 5 for one hour
13–16 Increases Speed Pool by 5 for one hour
17–20 Increases Intellect Pool by 5 for one hour
21–25 Restores a number of Might Pool points equal to cypher level
26–30 Restores a number of Speed Pool points equal to cypher level
31–35 Restores a number of Intellect Pool points equal to cypher level
36–45 Increases Might Edge by 1 for one hour
46–55 Increases Speed Edge by 1 for one hour
56–65 Increases Intellect Edge by 1 for one hour
66–75 Creates a random beneficial mutation for one hour
76–85 Creates a random powerful mutation for one hour
86–95 Creates a random distinctive mutation for one hour
96–00 Creates a random cosmetic mutation for one hour",no,SATC,,,,,,,,,,,,,,,,,,,
25,Biometric reference,1,"Internal: Pill, ingestible liquid
Wearable: Temporary tattoo, amulet, headband, crystal worn on temple
Usable: Small handheld device, crystal","Activating the device allows the user to connect with the datasphere to identify one creature he can see. The user learns the creature’s level, motivations, health, damage inflicted, armor, and movement, plus a detail about how it fights in combat.",no,SATC,,,,,,,,,,,,,,,,,,,
26,Biomorph,1d6+2,"Internal: Pill, ingestible liquid
Usable: Injector","Causes the user to gain a mutation. Roll to determine the type of mutation:
01-20 Harmful mutation
21-40 Cosmetic mutation
41-60 Beneficial mutation
61-80 Distinctive mutation
81-00 Powerful mutation",no,SATC,,,,,,,,,,,,,,,,,,,
27,Blinking nodule,1d6,Usable: Crystal nodule affixed to armor,"For the next 28 hours, each time (but not more than once per round) the wearer of the armor the nodule is attached to is struck hard enough to inflict damage, they teleport an immediate distance in a random direction (not up or down). Since the wearer is prepared for this effect and their foe is not, the wearer’s defenses are eased for one round after they teleport (eased by two steps if the cypher is level 5 or higher).",no,DISC,,,,,,,,,,,,,,,,,,,
28,Blood boiler,1d6+1,"Internal: Pill, ingestible liquid",Causes an increase in blood flow to any stimulated body parts. Adds 1 to Might Edge for one hour.,no,SATC,,,,,,,,,,,,,,,,,,,
29,Blood magnet,1d6,"Wearable: Glove, wristband
Usable: Syringe","The user injects the biological magnet into his own blood or that of another living creature within close range. The hemoglobin of the injected creature gains strong ferromagnetic properties for one hour. Roll d100:
01-50 Attracts metallic objects to the creature (can move an object up to the weight of the creature within long range) 
51-75 Repels metallic objects from the creature (can move an object up to the weight of the creature within long range) 
76-00 Causes the creature's blood to become overly magnetized, decreasing the flow of oxygen to the cells (does damage equal to the cypher level)
[For some reason, blood magnets—also known as meat magnets or mutant magnetsseem to work especially well on mutated blood. They are rumored to be a favorite weapon of the Angulan Knights in their war against mutants.]",no,SATC,,,,,,,,,,,,,,,,,,,
30,Bloom (fireflower),1d6+4,"Usable: Ceramic, glass, or other breakable material in the shape of a flower or seed pod with a fuse stem (lit and then thrown or launched, long-range)","Ten seconds after the fuse is lit, the device explodes, sending shards of red-hot glass out into the pattern of a flower. Any living creature that comes into contact with falling or spraying shards suffers burn damage equal to the cypher level.
[Blooms are a special type of detonation that explodes into specific, often elaborate, shapes. Floristas—those who create blooms—take great pride in their craft, attempting to make not only the most beautiful, but also the most lethal, explosions.]",c30,SATC,,,,,,,,,,,,,,,,,,,
31,Bloom (serpent),1d6+2,"Usable: Ceramic, glass, or other breakable material in the shape of a coiled snake with a fuse tongue (lit and then thrown or launched, long-range)","Ten seconds after the fuse is lit, the device explodes, sending out electrified wireworms in the pattern of a long, gyrating snake. As the snake pattern slides through the air, it explodes a second time, sending the electrified wireworms out in a wider pattern. Any living creature that comes into contact with the wireworms is electrified, taking damage equal to the cypher level and becoming dazed for one round, during which time the difficulty of all tasks it performs is modified by one step to its detriment.
[Blooms are a special type of detonation that explodes into specific, often elaborate, shapes. Floristas—those who create blooms—take great pride in their craft, attempting to make not only the most beautiful, but also the most lethal, explosions.]",c31,SATC,,,,,,,,,,,,,,,,,,,
32,Bloom (spore),1d6+4,Usable: Moss-wrapped ball filled with small pressure-activated detonator and propellant spores,"Ten seconds after the ball is firmly squeezed (to activate the detonator), the device explodes, sending spores out in foliage patterns. Any living creature that breathes in the falling or spraying spores takes damage equal to the cypher level.
[Blooms are a special type of detonation that explodes into specific, often elaborate, shapes. Floristas—those who create blooms—take great pride in their craft, attempting to make not only the most beautiful, but also the most lethal, explosions.]",c32,SATC,,,,,,,,,,,,,,,,,,,
33,Blue crystal,1d6+1,Usable: Small blue crystal,"When one gazes through a blue crystal, for a brief moment she can view a spot corresponding to her current position in a parallel universe. Moreover, the view is set a few moments in the future. However, since the crystal shows a parallel universe, the future seen may or may not be an accurate reflection of her reality. The user, then, sees a possible future. Normally, there is about a 30% chance that the glimpse is entirely accurate and a 30% chance that it is partially accurate, but these numbers depend on the circumstances.
[For a time, explorers found blue crystals in great numbers throughout many regions. They are more rare now.]
[The GM should decide what a PC sees through a blue crystal based on what is most likely to happen, and then allow actual play to determine whether what was seen was entirely accurate, partially accurate, or inaccurate.]",c33,SATC,,,,,,,,,,,,,,,,,,,
34,Body enhancer,1d6,Usable: Tube of malleable material,"Adjusts to match the user’s skin color and temperature, can be shaped into any form, and affixes itself to the user’s body for up to two hours. Single action to shape and affix.",no,SATC,,,,,,,,,,,,,,,,,,,
35,Bone dress,1d6,Usable: Squeezable tube filled with liquefied bone,"The material can be squeezed into a pattern of protection around anything, living or nonliving. Within a few seconds after application, the bone hardens in the established pattern, providing a cage of armor around the selected object or creature. The cage is malleable, allowing movement, and offers +1 to Armor for one hour. Application takes ten seconds or one round.
[Bone dresses are often used by those who wish to protect their companions in combat. It’s not uncommon to see seskii wearing intricate bone dresses before battle.]",no,SATC,,,,,,,,,,,,,,,,,,,
36,Brain lightning,1d6,"Wearable: Electrical headband
Usable: Handheld device, long-needled syringe","Provides a short, low-level burst of electrical stimulation directly to the brain, increasing awareness and cognitive function. As a result, the user moves one step up the damage track for ten minutes. This is a temporary effect that doesn’t change the status of her Pools. If she is hale (or becomes hale), the device has no effect.",no,SATC,,,,,,,,,,,,,,,,,,,
37,Breather symbiote,1d6+2,Wearable: A gelatinous mask that must be pressed onto the face,"Activating the symbiote causes the device to forcefully inject a long tendril down the user’s throat until it reaches his lungs, where it lodges in the fleshy material. The symbiote provides him with breathable air for one hour, letting him breathe in the absence of air. However, while the symbiote is activated, the user can’t speak. If the symbiote is removed, the user takes 4 points of damage.",no,SATC,,,,,,,,,,,,,,,,,,,
38,Buoyancy,1d6,"Internal: Pill, ingestible liquid
Wearable: Full bodysuit, harness worn about the chest
Usable: Injector","For one hour, the user cannot become submerged in any liquid.",no,SATC,,,,,,,,,,,,,,,,,,,
39,Burrowing bubble,1d6+4,"Wearable: Ring, bracelet, headband
Usable: Handheld device","Upon activation, for ten minutes, the user is surrounded by a bubble of energy that projects incredible heat outward, but not inward. This bubble floats 1 foot (0.3 m) in the air, inflicts 6 points of damage to all within immediate range, and inflicts 3 points of damage to all within short range. Further, it instantly melts the material directly below (of lower level than the cypher), and the bubble sinks an immediate distance into the new hole it created. This continues for the duration of the effect, so a user who stands on the ground when activating this cypher ends up about 800 feet (244 m) underground when it finally stops.
If the user concentrates, she can force the bubble to move an immediate distance in any direction she chooses as an action.
The user cannot penetrate the bubble, and neither can forces from the outside. Not even ambient damage gets through. Dealing at least 50 points of damage to the bubble (which has no Armor) destroys it. Damaging the bubble does not harm the user inside until the bubble is destroyed, at which point she falls from whatever height the bubble was at, which is at least 1 foot (0.3 m) in the air.",no,SATC,,,,,,,,,,,,,,,,,,,
40,Butterfly drone,1d6,Usable: Fingertip-sized winged insect built of synth and biological elements,"This voice-controlled cyberbug travels in a designated direction and distance. There, it holds its position, flying around in the area for ten minutes, recording sound and images. After that time, it returns to the user. To decipher the information, the user must ingest the bug, which then relays the recording via mechanical impulses to her brain. She sees and hears the recording only once.",no,SATC,,,,,,,,,,,,,,,,,,,
41,Cable projector,1d6,"Wearable: Wrist-mounted projector
Usable: Handheld device","Projects a cable or rope (if the PC has one) attached to a powerful spike up to long range. The projected rope embeds itself solidly into most surfaces, and the cypher can retract the rope later or pull it extremely taut. If desired, the device can easily be spiked into a surface so that the rope attaches to something solid at both ends.",no,SATC,,,,,,,,,,,,,,,,,,,
42,Camouflage screen,1d6+4,Usable: Handheld device,"Projects an opaque, two-dimensional screen of light that is 12 feet (4 m) high and 20 feet (6 m) across. It lasts up to 28 hours. The screen bears an animate image appropriate to the surrounding area, such as trees and brush in a forest, sandy dunes in a desert, and so on. Thus, anything behind the screen is easily hidden from visual observation unless the viewer is within immediate distance (and even then it may be obscured, depending on the circumstances).
[If you cobble together a camouflage screen and a pushpull beam (task difficulty 7), you create a cypher that fires a beam up to long range that encapsulates a target in a bubble of solid light about 8 feet (2 m) across. The target can’t take physical actions or perceive through the bubble for ten minutes.]",no,SATC,,,,,,,,,,,,,,,,,,,
43,Camouflage spray,1d6+1,Usable: Canister,An inanimate object (or group of objects) small enough to fit into a cube that is 10 feet by 10 feet by 10 feet (3 m by 3 m by 3 m) can be quickly coated so that its color and texture blend into its surroundings perfectly.,no,SATC,,,,,,,,,,,,,,,,,,,
44,Catholicon,1d6+2,"Internal: Pill, ingestible liquid
Usable: Injector",Cures any disease of the cypher level or lower.,no,DISC,,,,,,,,,,,,,,,,,,,
45,Catseye,1d6,"Internal: Pill, ingestible liquid
Usable: Injector",Grants the ability to see in the dark for five hours per cypher level.,no,DISC,,,,,,,,,,,,,,,,,,,
46,Caustic storm,1d6+4,Usable: Handheld device,"When activated, the cypher surrounds the user with a nimbus of energy, giving him +10 to Armor that works only against caustic damage. This lasts for one round, and the Armor is ablative, which is to say that each point of damage that it absorbs destroys 1 point of the Armor.
The cypher also releases fourteen hailstonesized motes of roiling caustic fluid that fly toward and attack all targets (including the user) within immediate range, one mote per target. If there are not fourteen targets within immediate range, the motes fly out to short range. If there are not fourteen targets within short range, they fly out to long range. If there are not fourteen targets within long range, the targets within long range get attacked twice (or more times) each, starting with those in immediate range.",no,SATC,,,,,,,,,,,,,,,,,,,
47,Chemical factory,1d6,"Internal: Pill, ingestible liquid
Usable: Injector","After one hour, the sweat of the user produces 1d6 doses of a valuable liquid (these doses are not considered cyphers). They must be used within one week. Effects vary:
01–04 Euphoric for 1d6 hours 
05–08 Hallucinogenic for 1d6 hours
09–12 Stimulant for 1d6 hours
13–16 Depressant for 1d6 hours 
17–20 Nutrient supplement 
21–25 Antivenom 
26–30 Cures disease 
31–35 See in the dark for one hour 
36–45 Restores a number of Might Pool points equal to cypher level 
46–55 Restores a number of Speed Pool points equal to cypher level
56–65 Restores a number of Intellect Pool points equal to cypher level 
66–75 Increases Might Edge by 1 for one hour 
76–85 Increases Speed Edge by 1 for one hour 
86–95 Increases Intellect Edge by 1 for one hour 
96–00 Restores all Pools to full",no,DISC,,,,,,,,,,,,,,,,,,,
48,Chitin colony,1d6,Usable: Small container filled with metal shavings,The shavings sprout sharp legs and rush out of the container to completely encase the user’s body. Each piece locks with another piece to form a flexible mesh. The user gains +1 to Armor for one hour.,no,SATC,,,,,,,,,,,,,,,,,,,
49,Cicerone,1d6,Usable: Handheld automaton,"The user activates the device, points the automaton’s face in the general direction he wishes to go, and states a general distance. The device suggests the easiest and quickest way to travel that route, taking into account terrain, weather, potential threats, and existing paths. It functions for 28 hours and then dies, speaking a single bit of useful information about the route ahead when it does so.",no,SATC,,,,,,,,,,,,,,,,,,,
50,Clamp trap,1d6+1,Usable: Mouthlike metal clamp,"When activated, this device becomes a pressure-plate trap that clamps around anything that triggers it. The device is similar to a bear trap, except that when it is fully activated, it becomes invisible. Once triggered, it inflicts damage equal to the cypher level, plus 1 additional point of damage per minute until it is removed.",no,SATC,,,,,,,,,,,,,,,,,,,
51,Cleaner,1d6,"Wearable: Wristband projector (immediate range)
Usable: Metal container filled with what looks like metal filings","When activated, the device dissolves the remains of one dead human-sized creature into a small pile of salts and other minerals.",no,SATC,,,,,,,,,,,,,,,,,,,
52,Cloaking pin,1d6+2,Usable: Metal disk that has been made into a lapel pin,"When activated, this creates a cloaking field that effectively makes the user invisible and completely silent for one minute. While invisible, the user is specialized in stealth and Speed defense tasks. This effect ends if he does something to reveal his presence or position—attacking, performing an esotery, using an ability, moving a large object, and so on. If this occurs, he can regain the remaining invisibility effect by taking an action to focus on hiding his position.",no,SATC,,,,,,,,,,,,,,,,,,,
53,Clone tank,10,Usable: A large glass and metal tank filled with pink slime,"To activate this device, the user must place a few drops of blood, strands of hair, nail clippings, or a piece of flesh in the slime. The slime hardens around the organic material to form a cyst. Over the next 3d6 months, the device rapidly grows a person from the material. At the end of this time, a full-grown creature, identical in every physical way to the donor creature, emerges from the tank, and the device deactivates. The clone is a level 1 creature. It can communicate in a language known to the user, but otherwise it understands nothing of the world. It becomes a unique character that develops a personality, objectives, and nature of its own.",c53,SATC,,,,,,,,,,,,,,,,,,,
54,Cloud seed,1d6+4,Usable: Handheld projector (5 miles or 8 km),"This device can be activated only outdoors and with a clear and unobstructed path to the sky. Once activated, a bright white mote flies up from the device into the sky and explodes, throwing grey tendrils out for 1 mile (2 km) in all directions. After one minute, the tendrils become dark clouds, and after another minute, the skies open up and drench the ground below with heavy rains. In freezing temperatures, the precipitation is sleet, ice, or snow. With the rain comes lightning and thunder. The storm moves with the prevailing winds and dissipates 1d6 hours later.",no,SATC,,,,,,,,,,,,,,,,,,,
55,Cloudskimmer,1d6+2,Usable: A lightweight box large enough to hold four human-sized creatures,"The lid of the box opens, and ten small bags rise from within and spend the next five minutes filling with a lighter-than-air gas. As they inflate, they rise above the box, revealing an empty compartment. A sturdy cord tethers each balloon to the box. When the balloons finish inflating, they lift the box and anything in it into the air at a rate of 100 feet (30 m) per minute until it reaches a maximum altitude of 1,000 feet (305 m). The device remains airborne for seven hours. After this time, it loses 100 feet (30 m) of altitude every ten minutes until it lands. The device moves in whatever direction the winds are blowing.",no,SATC,,,,,,,,,,,,,,,,,,,
56,Colorless grease,1d6+4,"Usable: A metal container filled with thin, colorless grease","There’s enough grease in the container to cover a human-sized creature or an object that can fit inside a 5-foot (2 m) cube. Rubbing the grease onto the target causes it to reflect no color and become invisible for as long as the grease remains. The grease wears off after 1d6 hours. Heat can cause the grease to melt and run, revealing the concealed target early.",no,SATC,,,,,,,,,,,,,,,,,,,
57,Communication disks,1d6+1,Usable: Small synth disks,"These cyphers usually come in pairs (although each is its own cypher). They allow verbal communication between their users at any distance. Both cyphers must be activated at the same time, and they function for 28 hours.",no,SATC,,,,,,,,,,,,,,,,,,,
58,Complex fluid wall projector,1d6+2,Usable: Handheld device,Creates a wall of complex fluid up to 30 feet by 30 feet by 1 foot (9 m by 9 m by 0.3 m). It inflicts damage equal to the cypher level on any out-of-phase creature that passes through it. Breaking through or puncturing the wall is a task equal to the cypher level. The wall conforms to the space available. It lasts for one hour.,no,SATC,,,,,,,,,,,,,,,,,,,
59,Comprehension graft,1d6+1,Usable: Small metallic disk,"When applied to a creature’s head, the disk immediately unleashes microfilaments that enter the brain. Within five minutes, the creature can understand the words of a specific language keyed to the graft (two languages if the cypher is level 5 or higher). This is true even of creatures that do not normally have a language. If the creature could already understand the language, the cypher has no effect. Once the graft attaches, the effect is permanent, and this device no longer counts against the number of cyphers that a PC can bear.
[Although comprehension grafts are useful for ambassadors, diplomats, and travelers, the cyphers are truly coveted by beast trainers all over the Ninth World.]
[Rumors speak of a fortress-city in the Beyond that has its own language and allows none other to be spoken. Those rare few allowed within its walls are forcibly given comprehension grafts produced in the city.]",no,DISC,,,,,,,,,,,,,,,,,,,
60,Concrete casting,1d6,Usable: Compound,"When mixed with water, this compound turns into malleable paste. If molded around a piece of armor, a body part, or another object and allowed to harden for ten minutes, the paste gives it an additional layer of protection, granting +3 to Armor. The paste lasts for one hour before it begins to disintegrate.",no,SATC,,,,,,,,,,,,,,,,,,,
61,Conflict advisor,1d6+2,"Internal: Pill, ingestible liquid
Wearable: Temporary tattoo, amulet, headband, crystal worn on temple","The device allows the user to access the datasphere to analyze opponents and anticipate their actions. For one hour, the user has an asset on all attack rolls and Speed defense rolls.",no,SATC,,,,,,,,,,,,,,,,,,,
62,Construction foam,1d6+1,Usable: Large canister,"The canister produces a vast amount of foam. This foam can easily be shaped into whatever form the user wishes that equals about four 10-foot (3 m) cubes—the size of a small house or a wall that’s 1 foot (0.3 m) thick, 10 feet (3 m) high, and 400 feet (122 m) long. This probably takes about twenty minutes. The foam dries quickly (in about a half hour) and hardens to the strength of steel, but it remains fairly lightweight. The entire mass of hardened foam weighs about 200 pounds (91 kg).",no,SATC,,,,,,,,,,,,,,,,,,,
63,Contingent Subroutine,1d6,"Internal: Pill, ingestible liquid, inhalable powder
Wearable: Temporary tattoo, dermal patch","The device automatically activates if the user becomes debilitated or dies. The device downloads special instructions from the datasphere that cause the body to take steps to protect and repair itself. During the next minute, the user is under the GM’s control and on each of the user’s turns, even if he is dead, he takes an action to move away from danger by the safest available route. At the end of this time, he makes a recovery roll—again, even if he is dead. The recovery roll does not count against the limit on recovery rolls that he can make in a day.",no,SATC,,,,,,,,,,,,,,,,,,,
64,Controlled blinking nodule,1d6+2,Usable: Crystal nodule affixed to armor,"For the next 28 hours, each time the wearer of the armor the nodule is attached to is struck hard enough to inflict damage (but no more than once per round), they teleport to a spot they desire within immediate range. Since the wearer is prepared for this effect and their foe is not, the wearer’s defenses are eased for one round after they teleport (eased by two steps if the cypher is level 6 or higher).",no,DISC,,,,,,,,,,,,,,,,,,,
65,Countermeasure (magnetic),1d6+2,Usable: Handheld device,"This device creates an invisible field that fills an area within short range and lasts for one minute. The field scrambles magnetic fields, making any device or power involving magnetism unusable. The effect lasts as long as the device or power remains within the field.",no,SATC,,,,,,,,,,,,,,,,,,,
66,Countermeasure (membrane),1d6+2,Usable: Handheld device,"This device creates an invisible field around up to three living creatures that lasts for one minute. The field scrambles all effects of incoming technological devices, ricocheting the effect back toward the initiator. It has no effects on technological devices used inside the field.",no,SATC,,,,,,,,,,,,,,,,,,,
67,Countermeasure (Technological),1d6+2,Usable: Handheld device,"Two rounds after being activated, the device creates an invisible field that fills an area within short range and lasts for one minute. The field scrambles the electronic processes of most technological devices and makes them inoperable. Intelligent devices cannot take actions during this time. The effect lasts as long as the devices remain within the field.",no,SATC,,,,,,,,,,,,,,,,,,,
68,Crystal virus,1d6+3,Wearable: Crystal that affixes to forehead,"When placed on a human’s forehead, this cypher immediately takes effect by permanently grafting itself in place (no longer counting against the person’s cypher limit). Within 1d10 + 2 days, the wearer’s flesh begins to take on a crystalline appearance in patches.
In three times that number of days, her entire body becomes organic crystal, flexible enough to move without hindrance, but hard and cold like crystal.
She has +1 to Armor permanently but is no longer capable of sexual reproduction.
Further, at the time of complete transformation, she produces a new crystal virus cypher, which can be used by another human.
It’s possible to remove the crystal before complete transformation, but it requires surgery and the task difficulty is equal to the cypher level. Doing so ensures that the creature’s flesh returns to normal. This will not work after complete transformation occurs.
(There are isolated communities in the Beyond where the entire population is infected by the crystal virus. The transformation might be done for practical, protective reasons or as part of a religious ritual.)",no,SATC,,,,,,,,,,,,,,,,,,,
69,Cyberflesh,1d6+2,"Internal: Pill, injection
Wearable: Spray-on mist",A character covered in cyberflesh has many advantages. The metallic coating offers +1 to Armor. The character also can use an action to touch any numenera device and automatically learn its function and how to use it (if possible). Cyberflesh lasts for ten minutes.,no,SATC,,,,,,,,,,,,,,,,,,,
70,Cypher replicator,1d6,Usable: An orb created from a series of synth blocks in various shapes that connect to each other via male and female tabs,"The user can dismantle the orb and use the individual blocks to replicate the shape of a weapon, bit of armor, or piece of equipment that is in her line of sight. Even if the duplicate is not identical, the finished object gives a viewer the sense that it is. In fact, for most people, it would be hard to tell the two objects apart.
Creating the duplicate takes two actions. The replicated item works exactly as the original does, except that it disintegrates in one hour.",no,SATC,,,,,,,,,,,,,,,,,,,
